#,File Path,Line Number,Line Content
1,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,2,"1,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.editorconfig,1,# Licensed to the Apache Software Foundation (ASF) under one or more"
2,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,3,"2,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.editorconfig,4,""# The ASF licenses this file to You under the Apache License, Version 2.0"""
3,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,4,"3,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.editorconfig,8,#     http://www.apache.org/licenses/LICENSE-2.0"
4,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,5,"4,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.gitignore,2,# Licensed to the Apache Software Foundation (ASF) under one or more"
5,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,6,"5,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.gitignore,5,""# The ASF licenses this file to You under the Apache License, Version 2.0"""
6,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,7,"6,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.gitignore,9,#     http://www.apache.org/licenses/LICENSE-2.0"
7,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,8,"7,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\.gitignore,51,java/org/apache/catalina/startup/catalina.properties"
8,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,9,"8,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,2,# Licensed to the Apache Software Foundation (ASF) under one or more"
9,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,10,"9,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,5,""# The ASF licenses this file to You under the Apache License, Version 2.0"""
10,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,11,"10,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,9,#     http://www.apache.org/licenses/LICENSE-2.0"
11,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,12,"11,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,88,#openssl.ffm.1=-Dorg.apache.tomcat.util.openssl.USE_SYSTEM_LOAD_LIBRARY=true"
12,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,13,"12,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,89,#openssl.ffm.2=-Dorg.apache.tomcat.util.openssl.LIBRARY_NAME=ssl"
13,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,14,"13,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,91,# if using org.apache.tomcat.util.openssl.USE_SYSTEM_LOAD_LIBRARY"
14,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,15,"14,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,93,#openssl.ffm.3=-Dorg.apache.tomcat.util.openssl.CRYPTO_LIBRARY_NAME=crypto"
15,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,16,"15,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,104,# See https://infra.apache.org/digicert-use.html for setup instructions"
16,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,17,"16,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,125,base-apache.loc.1=https://dlcdn.apache.org"
17,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,18,"17,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,126,base-apache.loc.2=https://archive.apache.org/dist"
18,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,19,"18,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,127,base-commons.loc.1=${base-apache.loc.1}/commons"
19,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,20,"19,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,128,base-commons.loc.2=${base-apache.loc.2}/commons"
20,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,21,"20,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,129,base-tomcat.loc.1=${base-apache.loc.1}/tomcat"
21,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,22,"21,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,130,base-tomcat.loc.2=${base-apache.loc.2}/tomcat"
22,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,23,"22,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,134,# repo.maven.apache.org is the same as repo2.maven.org"
23,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,24,"23,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,135,base-maven.loc=https://repo.maven.apache.org/maven2"
24,C:/Users/Adi/OneDrive/Utility/Comments\Test22.csv_20250914_021732.csv,25,"24,C:/Users/Adi/Desktop/ECW/tomcat-main/tomcat-main\build.properties.default,141,# See https://cwiki.apache.org/confluence/display/TOMCAT/Managing+Tomcat%27s+Dependency+on+the+Eclipse+JDT+Core+Batch+Compiler"
